MONAT,WOCHENTAG,PLZ,PRODUKT_GRUPPE,ANZAHL
01/01/2020,MI,9055,SEM,4
01/01/2020,MI,9055,PRI,315
01/01/2020,MI,9055,ECO,202
01/01/2020,MO,9055,ECO,198
01/01/2020,MO,9055,PRI,229
01/01/2020,MO,9055,SEM,3
01/01/2020,SA,9055,SEM,2
01/01/2020,SA,9055,PRI,93
01/01/2020,SA,9055,ECO,2
01/01/2020,DI,9056,PRI,567
01/01/2020,DI,9056,SEM,5
01/01/2020,DI,9056,ECO,296
01/01/2020,DO,9056,PRI,458
01/01/2020,DO,9056,ECO,335
01/01/2020,DO,9056,SEM,12
01/01/2020,FR,9056,ECO,371
01/01/2020,FR,9056,SEM,9
01/01/2020,FR,9056,PRI,476
01/01/2020,MI,9056,PRI,462
01/01/2020,MI,9056,ECO,321
01/01/2020,MI,9056,SEM,8
01/01/2020,MO,9056,ECO,280
01/01/2020,MO,9056,PRI,273
01/01/2020,MO,9056,SEM,1
01/01/2020,SA,9056,SEM,2
01/01/2020,SA,9056,PRI,128
01/01/2020,SA,9056,ECO,5
01/01/2020,DI,9057,ECO,109
01/01/2020,DI,9057,PRI,202
01/01/2020,DI,9057,SEM,4
01/01/2020,DO,9057,ECO,122
01/01/2020,DO,9057,PRI,163
01/01/2020,DO,9057,SEM,3
01/01/2020,FR,9057,ECO,120
01/01/2020,FR,9057,PRI,209
01/01/2020,FR,9057,SEM,4
01/01/2020,MI,9057,ECO,129
01/01/2020,MI,9057,PRI,192
01/01/2020,MI,9057,SEM,1
01/01/2020,MO,9057,PRI,94
01/01/2020,MO,9057,ECO,91
01/01/2020,SA,9057,SEM,5
01/01/2020,SA,9057,PRI,73
01/01/2020,SO,9057,ECO,1
01/01/2020,DI,9058,ECO,34
01/01/2020,DI,9058,PRI,52
01/01/2020,DO,9058,PRI,44
01/01/2020,DO,9058,ECO,33
01/01/2020,FR,9058,PRI,58
01/01/2020,FR,9058,ECO,39
01/01/2020,MI,9058,ECO,38
01/01/2020,MI,9058,PRI,63
01/01/2020,MO,9058,SEM,1
01/01/2020,MO,9058,PRI,32
01/01/2020,MO,9058,ECO,49
01/01/2020,SA,9058,PRI,24
01/01/2020,SA,9058,ECO,1
01/01/2020,DI,9062,PRI,115
01/01/2020,DI,9062,SEM,2
01/01/2020,DI,9062,ECO,34
01/01/2020,DO,9062,SEM,2
01/01/2020,DO,9062,PRI,87
01/01/2020,DO,9062,ECO,46
01/01/2020,FR,9062,PRI,90
01/01/2020,FR,9062,SEM,8
01/01/2020,FR,9062,ECO,62
01/01/2020,MI,9062,ECO,60
01/01/2020,MI,9062,SEM,6
01/01/2020,MI,9062,PRI,89
01/01/2020,MO,9062,PRI,70
01/01/2020,MO,9062,ECO,40
01/01/2020,MO,9062,SEM,3
01/01/2020,SA,9062,PRI,15
01/01/2020,SA,9062,ECO,1
01/01/2020,DI,9063,SEM,4
01/01/2020,DI,9063,PRI,246
01/01/2020,DI,9063,ECO,126
01/01/2020,DO,9063,SEM,3
